Iteration 554 	 Th1: 176 Th2: 883
Iteration 555 	 Th1: 176 Th2: 883
Iteration 556 	 Th1: 176 Th2: 883
Iteration 557 	 Th1: 176 Th2: 883
Iteration 558 	 Th1: 176 Th2: 883
Iteration 559 	 Th1: 176 Th2: 883
Iteration 560 	 Th1: 176 Th2: 883
Iteration 561 	 Th1: 176 Th2: 883
Iteration 562 	 Th1: 178 Th2: 883
Iteration 563 	 Th1: 179 Th2: 883
Iteration 564 	 Th1: 179 Th2: 883
Iteration 565 	 Th1: 179 Th2: 883
Iteration 566 	 Th1: 179 Th2: 883
Iteration 567 	 Th1: 179 Th2: 883
Iteration 568 	 Th1: 180 Th2: 883
Iteration 569 	 Th1: 180 Th2: 883
Iteration 570 	 Th1: 180 Th2: 883
Iteration 571 	 Th1: 180 Th2: 883
Iteration 572 	 Th1: 180 Th2: 883
Iteration 573 	 Th1: 180 Th2: 883
Iteration 574 	 Th1: 180 Th2: 883
Iteration 575 	 Th1: 180 Th2: 883
Iteration 576 	 Th1: 180 Th2: 883
Iteration 577 	 Th1: 181 Th2: 883
Iteration 578 	 Th1: 182 Th2: 883
Iteration 579 	 Th1: 182 Th2: 883
Iteration 580 	 Th1: 182 Th2: 883
Iteration 581 	 Th1: 182 Th2: 883
Iteration 582 	 Th1: 182 Th2: 883
Iteration 583 	 Th1: 182 Th2: 883
Iteration 584 	 Th1: 182 Th2: 883
Iteration 585 	 Th1: 183 Th2: 883
Iteration 586 	 Th1: 183 Th2: 883
Iteration 587 	 Th1: 183 Th2: 883
Iteration 588 	 Th1: 183 Th2: 883
Iteration 589 	 Th1: 183 Th2: 883
Iteration 590 	 Th1: 183 Th2: 883
Iteration 591 	 Th1: 183 Th2: 883
Iteration 592 	 Th1: 183 Th2: 883
Iteration 593 	 Th1: 183 Th2: 883
Iteration 594 	 Th1: 183 Th2: 883
Iteration 595 	 Th1: 184 Th2: 883
Iteration 596 	 Th1: 184 Th2: 883
Iteration 597 	 Th1: 184 Th2: 883
Iteration 598 	 Th1: 184 Th2: 883
Iteration 599 	 Th1: 184 Th2: 883
Iteration 600 	 Th1: 185 Th2: 883
Iteration 601 	 Th1: 185 Th2: 883
Iteration 602 	 Th1: 185 Th2: 883
Iteration 603 	 Th1: 185 Th2: 883
Iteration 604 	 Th1: 185 Th2: 883
Iteration 605 	 Th1: 185 Th2: 883
